airline,airport_name,airport_code,avg_dep_delay
9E,"Fort Myers, FL",RSW,98.21621621621621
AA,"Eagle, CO",EGE,58.16129032258065
AS,"Newark, NJ",EWR,21.741007194244606
B6,"Providence, RI",PVD,52.07936507936508
DL,"Bangor, ME",BGR,56.18518518518518
EV,"Traverse City, MI",TVC,86.1842105263158
F9,"Portland, ME",PWM,47.31818181818182
G4,"Richmond, VA",RIC,93.55555555555556
HA,"Phoenix, AZ",PHX,94.29032258064517
MQ,"Newark, NJ",EWR,38.55555555555556
NK,"Niagara Falls, NY",IAG,48.74193548387097
OH,"Rapid City, SD",RAP,49.888888888888886
OO,"Charlotte, NC",CLT,58.35885167464115
Reporting_Airline,OriginCityName,Origin,0
UA,"Asheville, NC",AVL,97.29629629629629
WN,"Newark, NJ",EWR,27.721283783783782
YV,"Gunnison, CO",GUC,56.5625
YX,"Traverse City, MI",TVC,48.705882352941174
